"Date","Depth","Site","Plot","Year","Value"
2011-09-30,10,"IN_Randolph","SW",2011,0.282
2011-09-30,20,"IN_Randolph","SW",2011,0.329
2011-09-30,40,"IN_Randolph","SW",2011,0.35
2011-09-30,60,"IN_Randolph","SW",2011,0.326
2011-09-30,100,"IN_Randolph","SW",2011,0.369
2011-10-01,10,"IN_Randolph","SW",2011,0.273
2011-10-01,20,"IN_Randolph","SW",2011,0.324
2011-10-01,40,"IN_Randolph","SW",2011,0.343
2011-10-01,60,"IN_Randolph","SW",2011,0.32
2011-10-01,100,"IN_Randolph","SW",2011,0.364
2011-10-02,10,"IN_Randolph","SW",2011,0.268
2011-10-02,20,"IN_Randolph","SW",2011,0.321
2011-10-02,40,"IN_Randolph","SW",2011,0.338
2011-10-02,60,"IN_Randolph","SW",2011,0.317
2011-10-02,100,"IN_Randolph","SW",2011,0.358
2011-10-03,10,"IN_Randolph","SW",2011,0.267
2011-10-03,20,"IN_Randolph","SW",2011,0.32
2011-10-03,40,"IN_Randolph","SW",2011,0.336
2011-10-03,60,"IN_Randolph","SW",2011,0.315
2011-10-03,100,"IN_Randolph","SW",2011,0.355
2011-10-04,10,"IN_Randolph","SW",2011,0.265
2011-10-04,20,"IN_Randolph","SW",2011,0.321
2011-10-04,40,"IN_Randolph","SW",2011,0.336
2011-10-04,60,"IN_Randolph","SW",2011,0.313
2011-10-04,100,"IN_Randolph","SW",2011,0.352
2011-10-05,10,"IN_Randolph","SW",2011,0.264
2011-10-05,20,"IN_Randolph","SW",2011,0.323
2011-10-05,40,"IN_Randolph","SW",2011,0.336
2011-10-05,60,"IN_Randolph","SW",2011,0.313
2011-10-05,100,"IN_Randolph","SW",2011,0.351
2011-10-06,10,"IN_Randolph","SW",2011,0.262
2011-10-06,20,"IN_Randolph","SW",2011,0.324
2011-10-06,40,"IN_Randolph","SW",2011,0.337
2011-10-06,60,"IN_Randolph","SW",2011,0.313
2011-10-06,100,"IN_Randolph","SW",2011,0.349
2011-10-07,10,"IN_Randolph","SW",2011,0.259
2011-10-07,20,"IN_Randolph","SW",2011,0.325
2011-10-07,40,"IN_Randolph","SW",2011,0.338
2011-10-07,60,"IN_Randolph","SW",2011,0.313
2011-10-07,100,"IN_Randolph","SW",2011,0.348
2011-10-08,10,"IN_Randolph","SW",2011,0.255
